locationType,location,major,minor,occupation,ethnicity,total,median,mean
Region,Area Outside Region,Technicians and Trades Workers,Skilled Animal and Horticultural Workers,Dog Handler or Trainer,Pacific Peoples,NA,..C,..C
Region,Area Outside Region,Technicians and Trades Workers,Other Technicians and Trades Workers,Hairdresser,Pacific Peoples,NA,..C,..C
Region,Area Outside Region,Community and Personal Service Workers,Health and Welfare Support Workers,Ambulance Officer,Pacific Peoples,NA,..C,..C
Region,Area Outside Region,Community and Personal Service Workers,Carers and Aides,Child Care Worker,Pacific Peoples,NA,..C,..C
Region,Area Outside Region,Community and Personal Service Workers,Hospitality Workers,Bar Attendant,Pacific Peoples,NA,..C,..C
Region,Area Outside Region,Community and Personal Service Workers,Protective Service Workers,Defence Force Member - Other Ranks,Pacific Peoples,NA,..C,..C
Region,Area Outside Region,Community and Personal Service Workers,Sports and Personal Service Workers,Beauty Therapist,Pacific Peoples,NA,..C,..C
Region,Area Outside Region,Clerical and Administrative Workers,Office Managers and Program Administrators,Contract Administrator,Pacific Peoples,NA,..C,..C
Region,Area Outside Region,Clerical and Administrative Workers,Personal Assistants and Secretaries,Personal Assistant,Pacific Peoples,NA,..C,..C
Region,Area Outside Region,Clerical and Administrative Workers,General Clerical Workers,General Clerk,Pacific Peoples,NA,..C,..C
Region,Area Outside Region,Clerical and Administrative Workers,Inquiry Clerks and Receptionists,Call or Contact Centre Team Leader,Pacific Peoples,NA,..C,..C
Region,Area Outside Region,Clerical and Administrative Workers,Numerical Clerks,Accounts Clerk,Pacific Peoples,NA,..C,..C
Region,Area Outside Region,Clerical and Administrative Workers,Clerical and Office Support Workers,Betting Agency Counter Clerk,Pacific Peoples,NA,..C,..C
Region,Area Outside Region,Clerical and Administrative Workers,Other Clerical and Administrative Workers,Code retired,Pacific Peoples,NA,..C,..C
Region,Area Outside Region,Sales Workers,Sales Representatives and Agents,Auctioneer,Pacific Peoples,NA,..C,..C
Region,Area Outside Region,Sales Workers,Sales Assistants and Salespersons,Sales Assistant (General),Pacific Peoples,NA,..C,..C
Region,Area Outside Region,Sales Workers,Sales Support Workers,Checkout Operator,Pacific Peoples,NA,..C,..C
Region,Area Outside Region,Machinery Operators and Drivers,Machine and Stationary Plant Operators,Clay Products Machine Operator,Pacific Peoples,NA,..C,..C
Region,Area Outside Region,Machinery Operators and Drivers,Mobile Plant Operators,Agricultural and Horticultural Mobile Plant Operator,Pacific Peoples,NA,..C,..C
Region,Area Outside Region,Machinery Operators and Drivers,Road and Rail Drivers,Chauffeur,Pacific Peoples,NA,..C,..C
Region,Area Outside Region,Machinery Operators and Drivers,Storepersons,Storeperson,Pacific Peoples,NA,..C,..C
Region,Area Outside Region,Labourers,Cleaners and Laundry Workers,Car Detailer,Pacific Peoples,NA,..C,..C
Region,Area Outside Region,Labourers,Construction and Mining Labourers,Builder's Labourer,Pacific Peoples,NA,..C,..C
Region,Area Outside Region,Labourers,Factory Process Workers,Baking Factory Worker,Pacific Peoples,NA,..C,..C
Region,Area Outside Region,Labourers,"Farm, Forestry and Garden Workers",Aquaculture Worker,Pacific Peoples,NA,..C,..C
Region,Area Outside Region,Labourers,Food Preparation Assistants,Fast Food Cook,Pacific Peoples,NA,..C,..C
Region,Area Outside Region,Labourers,Other Labourers,Freight Handler (Rail or Road),Pacific Peoples,NA,..C,..C
National,Overseas,Managers,"Chief Executives, General Managers and Legislators",Chief Executive or Managing Director,Pacific Peoples,NA,..C,..C
National,Overseas,Managers,Farmers and Farm Managers,Aquaculture Farmer,Pacific Peoples,NA,..C,..C
National,Overseas,Managers,Specialist Managers,Code retired,Pacific Peoples,NA,..C,..C
National,Overseas,Managers,"Hospitality, Retail and Service Managers",Cafe or Restaurant Manager,Pacific Peoples,NA,..C,..C
National,Overseas,Professionals,Arts and Media Professionals,Actor,Pacific Peoples,NA,..C,..C
National,Overseas,Professionals,"Business, Human Resource and Marketing Professionals",Accountant (General),Pacific Peoples,NA,..C,..C
National,Overseas,Professionals,"Design, Engineering, Science and Transport Professionals",Aeroplane Pilot,Pacific Peoples,NA,..C,..C
National,Overseas,Professionals,Education Professionals,Early Childhood (Pre-primary School) Teacher,Pacific Peoples,NA,..C,..C
National,Overseas,Professionals,Health Professionals,Dietitian,Pacific Peoples,NA,..C,..C
National,Overseas,Professionals,ICT Professionals,ICT Business Analyst,Pacific Peoples,NA,..C,..C
National,Overseas,Professionals,"Legal, Social and Welfare Professionals",Barrister,Pacific Peoples,NA,..C,..C
National,Overseas,Technicians and Trades Workers,"Engineering, ICT and Science Technicians",Agricultural Technician,Pacific Peoples,NA,..C,..C
National,Overseas,Technicians and Trades Workers,Automotive and Engineering Trades Workers,Automotive Electrician,Pacific Peoples,NA,..C,..C
National,Overseas,Technicians and Trades Workers,Construction Trades Workers,Bricklayer,Pacific Peoples,NA,..C,..C
National,Overseas,Technicians and Trades Workers,Electrotechnology and Telecommunications Trades Workers,Electrician (General),Pacific Peoples,NA,..C,..C
National,Overseas,Technicians and Trades Workers,Food Trades Workers,Baker,Pacific Peoples,NA,..C,..C
National,Overseas,Technicians and Trades Workers,Skilled Animal and Horticultural Workers,Dog Handler or Trainer,Pacific Peoples,NA,..C,..C
National,Overseas,Technicians and Trades Workers,Other Technicians and Trades Workers,Hairdresser,Pacific Peoples,NA,..C,..C
National,Overseas,Community and Personal Service Workers,Health and Welfare Support Workers,Ambulance Officer,Pacific Peoples,NA,..C,..C
National,Overseas,Community and Personal Service Workers,Carers and Aides,Child Care Worker,Pacific Peoples,NA,..C,..C
National,Overseas,Community and Personal Service Workers,Hospitality Workers,Bar Attendant,Pacific Peoples,NA,..C,..C
National,Overseas,Community and Personal Service Workers,Protective Service Workers,Defence Force Member - Other Ranks,Pacific Peoples,NA,..C,..C
National,Overseas,Community and Personal Service Workers,Sports and Personal Service Workers,Beauty Therapist,Pacific Peoples,NA,..C,..C
National,Overseas,Clerical and Administrative Workers,Office Managers and Program Administrators,Contract Administrator,Pacific Peoples,NA,..C,..C
National,Overseas,Clerical and Administrative Workers,Personal Assistants and Secretaries,Personal Assistant,Pacific Peoples,NA,..C,..C
National,Overseas,Clerical and Administrative Workers,General Clerical Workers,General Clerk,Pacific Peoples,NA,..C,..C
National,Overseas,Clerical and Administrative Workers,Inquiry Clerks and Receptionists,Call or Contact Centre Team Leader,Pacific Peoples,NA,..C,..C
National,Overseas,Clerical and Administrative Workers,Numerical Clerks,Accounts Clerk,Pacific Peoples,NA,..C,..C
National,Overseas,Clerical and Administrative Workers,Clerical and Office Support Workers,Betting Agency Counter Clerk,Pacific Peoples,NA,..C,..C
National,Overseas,Clerical and Administrative Workers,Other Clerical and Administrative Workers,Code retired,Pacific Peoples,NA,..C,..C
National,Overseas,Sales Workers,Sales Representatives and Agents,Auctioneer,Pacific Peoples,NA,..C,..C
National,Overseas,Sales Workers,Sales Assistants and Salespersons,Sales Assistant (General),Pacific Peoples,NA,..C,..C
National,Overseas,Sales Workers,Sales Support Workers,Checkout Operator,Pacific Peoples,NA,..C,..C
National,Overseas,Machinery Operators and Drivers,Machine and Stationary Plant Operators,Clay Products Machine Operator,Pacific Peoples,NA,..C,..C
National,Overseas,Machinery Operators and Drivers,Mobile Plant Operators,Agricultural and Horticultural Mobile Plant Operator,Pacific Peoples,NA,..C,..C
National,Overseas,Machinery Operators and Drivers,Road and Rail Drivers,Chauffeur,Pacific Peoples,NA,..C,..C
National,Overseas,Machinery Operators and Drivers,Storepersons,Storeperson,Pacific Peoples,NA,..C,..C
National,Overseas,Labourers,Cleaners and Laundry Workers,Car Detailer,Pacific Peoples,NA,..C,..C
National,Overseas,Labourers,Construction and Mining Labourers,Builder's Labourer,Pacific Peoples,NA,..C,..C
National,Overseas,Labourers,Factory Process Workers,Baking Factory Worker,Pacific Peoples,NA,..C,..C
National,Overseas,Labourers,"Farm, Forestry and Garden Workers",Aquaculture Worker,Pacific Peoples,NA,..C,..C
National,Overseas,Labourers,Food Preparation Assistants,Fast Food Cook,Pacific Peoples,NA,..C,..C
National,Overseas,Labourers,Other Labourers,Freight Handler (Rail or Road),Pacific Peoples,NA,..C,..C
Territorial Authority,Far North District,Managers,"Chief Executives, General Managers and Legislators",Chief Executive or Managing Director,Pacific Peoples,9,46400,54800
Territorial Authority,Far North District,Managers,Farmers and Farm Managers,Aquaculture Farmer,Pacific Peoples,NA,..C,..C
Territorial Authority,Far North District,Managers,Specialist Managers,Code retired,Pacific Peoples,NA,..C,..C
Territorial Authority,Far North District,Managers,"Hospitality, Retail and Service Managers",Cafe or Restaurant Manager,Pacific Peoples,9,30100,39600
Territorial Authority,Far North District,Professionals,Arts and Media Professionals,Actor,Pacific Peoples,NA,..C,..C
Territorial Authority,Far North District,Professionals,"Business, Human Resource and Marketing Professionals",Accountant (General),Pacific Peoples,NA,..C,..C
Territorial Authority,Far North District,Professionals,"Design, Engineering, Science and Transport Professionals",Aeroplane Pilot,Pacific Peoples,NA,..C,..C
Territorial Authority,Far North District,Professionals,Education Professionals,Early Childhood (Pre-primary School) Teacher,Pacific Peoples,9,38100,37400
Territorial Authority,Far North District,Professionals,Health Professionals,Dietitian,Pacific Peoples,NA,..C,..C
Territorial Authority,Far North District,Professionals,ICT Professionals,ICT Business Analyst,Pacific Peoples,NA,..C,..C
Territorial Authority,Far North District,Professionals,"Legal, Social and Welfare Professionals",Barrister,Pacific Peoples,NA,..C,..C
Territorial Authority,Far North District,Technicians and Trades Workers,"Engineering, ICT and Science Technicians",Agricultural Technician,Pacific Peoples,NA,..C,..C
Territorial Authority,Far North District,Technicians and Trades Workers,Automotive and Engineering Trades Workers,Automotive Electrician,Pacific Peoples,NA,..C,..C
Territorial Authority,Far North District,Technicians and Trades Workers,Construction Trades Workers,Bricklayer,Pacific Peoples,NA,..C,..C
Territorial Authority,Far North District,Technicians and Trades Workers,Electrotechnology and Telecommunications Trades Workers,Electrician (General),Pacific Peoples,NA,..C,..C
Territorial Authority,Far North District,Technicians and Trades Workers,Food Trades Workers,Baker,Pacific Peoples,NA,..C,..C
Territorial Authority,Far North District,Technicians and Trades Workers,Skilled Animal and Horticultural Workers,Dog Handler or Trainer,Pacific Peoples,NA,..C,..C
Territorial Authority,Far North District,Technicians and Trades Workers,Other Technicians and Trades Workers,Hairdresser,Pacific Peoples,NA,..C,..C
Territorial Authority,Far North District,Community and Personal Service Workers,Health and Welfare Support Workers,Ambulance Officer,Pacific Peoples,NA,..C,..C
Territorial Authority,Far North District,Community and Personal Service Workers,Carers and Aides,Child Care Worker,Pacific Peoples,NA,..C,..C
Territorial Authority,Far North District,Community and Personal Service Workers,Hospitality Workers,Bar Attendant,Pacific Peoples,NA,..C,..C
Territorial Authority,Far North District,Community and Personal Service Workers,Protective Service Workers,Defence Force Member - Other Ranks,Pacific Peoples,NA,..C,..C
Territorial Authority,Far North District,Community and Personal Service Workers,Sports and Personal Service Workers,Beauty Therapist,Pacific Peoples,NA,..C,..C
Territorial Authority,Far North District,Clerical and Administrative Workers,Office Managers and Program Administrators,Contract Administrator,Pacific Peoples,NA,..C,..C
Territorial Authority,Far North District,Clerical and Administrative Workers,Personal Assistants and Secretaries,Personal Assistant,Pacific Peoples,NA,..C,..C
Territorial Authority,Far North District,Clerical and Administrative Workers,General Clerical Workers,General Clerk,Pacific Peoples,9,41000,43400
Territorial Authority,Far North District,Clerical and Administrative Workers,Inquiry Clerks and Receptionists,Call or Contact Centre Team Leader,Pacific Peoples,NA,..C,..C
Territorial Authority,Far North District,Clerical and Administrative Workers,Numerical Clerks,Accounts Clerk,Pacific Peoples,NA,..C,..C
Territorial Authority,Far North District,Clerical and Administrative Workers,Clerical and Office Support Workers,Betting Agency Counter Clerk,Pacific Peoples,NA,..C,..C
Territorial Authority,Far North District,Clerical and Administrative Workers,Other Clerical and Administrative Workers,Code retired,Pacific Peoples,NA,..C,..C
Territorial Authority,Far North District,Sales Workers,Sales Representatives and Agents,Auctioneer,Pacific Peoples,NA,..C,..C
Territorial Authority,Far North District,Sales Workers,Sales Assistants and Salespersons,Sales Assistant (General),Pacific Peoples,66,20200,21600
Territorial Authority,Far North District,Sales Workers,Sales Support Workers,Checkout Operator,Pacific Peoples,NA,..C,..C
Territorial Authority,Far North District,Machinery Operators and Drivers,Machine and Stationary Plant Operators,Clay Products Machine Operator,Pacific Peoples,NA,..C,..C
Territorial Authority,Far North District,Machinery Operators and Drivers,Mobile Plant Operators,Agricultural and Horticultural Mobile Plant Operator,Pacific Peoples,NA,..C,..C
Territorial Authority,Far North District,Machinery Operators and Drivers,Road and Rail Drivers,Chauffeur,Pacific Peoples,NA,..C,..C
Territorial Authority,Far North District,Machinery Operators and Drivers,Storepersons,Storeperson,Pacific Peoples,NA,..C,..C
Territorial Authority,Far North District,Labourers,Cleaners and Laundry Workers,Car Detailer,Pacific Peoples,NA,..C,..C
Territorial Authority,Far North District,Labourers,Construction and Mining Labourers,Builder's Labourer,Pacific Peoples,NA,..C,..C
Territorial Authority,Far North District,Labourers,Factory Process Workers,Baking Factory Worker,Pacific Peoples,NA,..C,..C
Territorial Authority,Far North District,Labourers,"Farm, Forestry and Garden Workers",Aquaculture Worker,Pacific Peoples,NA,..C,..C
